Brand Name,City,Address  ,Type of Service,Latitude ,Longitude ,,,,
NISSAN,Amman, st. Alharfiyn,Nissan Maintenance Center,31.94076,35.84375,,,,
NISSAN,Amman,Makkah street,Nissan Showroom,31.97674,35.84198,,,,
NISSAN,Amman,Princess Aisha Bint Al Hussein St 6,Bustami & Saheb Trading Co Nissan,31.9939,35.94218,,,,
NISSAN,Irbid,st. Jihad Abraham,Bustami & Saheb Trading Company - Nissan -,32.59261,35.86482,,,,
NISSAN,Irbid, Industrial City Circle,Al Majdal Agency for Nissan Spare Parts,32.60031,35.86345,,,,
FORD,Amman,Al Bayader,Ford Commercial and Industrial Company,31.94672,35.83293,,,,
FORD,Amman,S. Asaid Bin Al-Hadir,Ford Maintenance Company,31.99755,35.99917,,,,
FORD,Irbid,Baghdad Street,Ford Company Agency,32.58228,35.85615,,,,
FORD,Amman,S. King Abdullah the First,Ford terminal company,31.95632,35.95337,,,,
FORD,Amman,Al Bayader Industrial,Al Rawabi Ford Center,31.939,35.8465,,,,
Mercedes-Benz,Amman,King Abdullah II Street,Gargour Mercedes-Benz showroom,31.9419,35.84832,,,,
Mercedes-Benz,Amman,Al Rajeeb Street,Mercedes Company Service Center,31.89536,35.97388,,,,
Mercedes-Benz,Amman,Yarmouk Street,"Mercedes Company (Tawfiq Gargour), Yarmouk Branch",31.93527,35.94555,,,,
Toyota,Amman,Makkah street,Markazia Toyota Showroom,31.97792,35.84217,,,,
Toyota,Amman,Marka,Toyota Spare Parts Center,32.00534,36.00593,,,,
Toyota,Amman,Zainab Al-Asadia 23 St,Toyota Service Center,31.93982,35.8462,,,,
Toyota,Amman,Saleem Bin Al Hareth St 41,Central Trade & Auto Co CTA Toyota,31.9423,35.84199,,,,
Hyundai,Amman,King Abdallah Ben Al Hussein Ath Thani Street,Car showroom,32.002,35.83016,,,,
Hyundai,Amman,"Industrial Zone, Workers Street, Building 35",Car showroom,31.94168,35.84083,,,,
Hyundai,Amman,"Bayader Wadi Al-Seer / Industrial Zone, Workers Street, Building 35",maintenance center,31.94166,35.8408,,,,
Kia,Amman,243 Mecca St., Car Showroom,31.974722,35.844167,,,,
Kia,Amman,Al-Bayader,Service &Parts,31.9399,35.844,,,,
Kia,Amman,Marka K.Abdullah I St.,Service &Parts,31.991389,36.002778,,,,
Kia,Irbid,Irbid City Center,Showroom /Service &Parts,32.523333,35.876389,,,,
Kia,Aqaba,Aqaba Entrance beside City Center,Showroom /Service &Parts,29.558056,35.035,,,,
Jeep,Amman,Wadi Saqra - Building 233,Advanced Automotive Trading Co. / Car Showroom ,31.9625,35.889167,,,,
Jeep,Amman,Marka K.Abdullah St.,Advanced Automotive Trading Co. / Service Center,31.9828,35.9917,,,,
Land Rover,Amman,"185 Al Madina Al Monowwara Street, Al Tla′a Al Shamali, 3777",mahmoudia motors Showroom /Service,31.986667,35.866389,,,,
Jaguar,Amman,"185 Al Madina Al Monowwara Street, Al Tla′a Al Shamali, 3777",mahmoudia motors Showroom /Service,31.986667,35.866389,,,,
Porsche,Amman,"7th Circle, Airport Road ",Porsche Centre Jordan Showroom /Service,31.955,35.8576,,,,
